receipt_no.,completion_time,details,transaction_status,paid_in,withdrawn,balance
MP884265,2025-04-28 10:37:17,Deposit from M-PESA,Completed,1060.64,0.0,8694.62
MP876710,2025-02-13 10:37:17,Airtime Purchase,Completed,0.0,0.0,2448.61
MP955923,2025-03-20 10:37:17,Airtime Purchase,Completed,0.0,0.0,2827.31
MP102515,2025-04-19 10:37:17,Deposit from M-PESA,Completed,570.7,0.0,9284.38
MP186018,2025-02-27 10:37:17,Withdrawal at Agent,Completed,0.0,4448.75,7694.12
MP177991,2025-03-14 10:37:17,Send Money,Completed,0.0,1746.1,9940.83
MP657678,2024-12-30 10:37:17,Airtime Purchase,Completed,0.0,0.0,6291.53
MP781727,2025-01-02 10:37:17,Withdrawal at Agent,Completed,0.0,3247.63,3791.88
MP863594,2025-02-25 10:37:17,Buy Goods,Completed,0.0,2993.27,3983.04
MP177915,2025-03-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,5739.02
MP254957,2025-05-23 10:37:17,Send Money,Completed,0.0,1362.36,4119.39
MP906042,2025-02-11 10:37:17,Deposit from M-PESA,Completed,952.59,0.0,125.61
MP841138,2025-06-17 10:37:17,Deposit from M-PESA,Completed,2266.72,0.0,2955.57
MP651663,2024-12-21 10:37:17,Deposit from M-PESA,Completed,2014.72,0.0,4785.16
MP175845,2025-01-24 10:37:17,Deposit from M-PESA,Completed,1612.06,0.0,4773.03
MP358101,2025-01-29 10:37:17,Buy Goods,Completed,0.0,295.19,3893.86
MP538276,2024-12-22 10:37:17,Withdrawal at Agent,Completed,0.0,1668.31,1146.86
MP832125,2025-05-17 10:37:17,Deposit from M-PESA,Completed,2995.53,0.0,7706.88
MP659540,2025-06-15 10:37:17,Withdrawal at Agent,Completed,0.0,3009.08,5780.77
MP388081,2025-04-21 10:37:17,Send Money,Completed,0.0,117.4,9824.74
MP414601,2025-04-01 10:37:17,Withdrawal at Agent,Completed,0.0,2239.48,3471.94
MP689613,2025-01-16 10:37:17,Deposit from M-PESA,Completed,2526.9,0.0,3665.48
MP913922,2025-01-21 10:37:17,Airtime Purchase,Failed,0.0,0.0,8412.35
MP901970,2024-12-21 10:37:17,Withdrawal at Agent,Completed,0.0,2837.55,770.38
MP784459,2025-01-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,9429.25
MP130444,2024-12-21 10:37:17,Withdrawal at Agent,Completed,0.0,1615.03,1886.45
MP948559,2025-02-10 10:37:17,Deposit from M-PESA,Completed,1596.96,0.0,5220.13
MP350177,2025-01-21 10:37:17,Buy Goods,Completed,0.0,3252.4,5934.14
MP479867,2025-01-04 10:37:17,Deposit from M-PESA,Completed,1611.91,0.0,7309.03
MP194852,2025-03-21 10:37:17,Withdrawal at Agent,Completed,0.0,4527.07,3141.9
MP717636,2025-05-23 10:37:17,Send Money,Completed,0.0,2381.59,2055.49
MP913225,2025-04-15 10:37:17,Deposit from M-PESA,Completed,2270.18,0.0,3132.47
MP811413,2025-04-24 10:37:17,Send Money,Completed,0.0,2687.93,8678.15
MP526117,2025-03-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,3949.49
MP180783,2025-02-17 10:37:17,Send Money,Completed,0.0,2380.09,6804.41
MP257888,2024-12-29 10:37:17,Withdrawal at Agent,Completed,0.0,3072.96,1518.96
MP583946,2025-03-04 10:37:17,Withdrawal at Agent,Completed,0.0,69.99,2616.04
MP301154,2025-06-18 10:37:17,Airtime Purchase,Completed,0.0,0.0,8285.87
MP933610,2025-02-07 10:37:17,Withdrawal at Agent,Completed,0.0,366.11,4373.97
MP196693,2025-05-06 10:37:17,Buy Goods,Completed,0.0,875.17,7416.23
MP511510,2025-05-23 10:37:17,Airtime Purchase,Completed,0.0,0.0,4769.21
MP512375,2025-01-23 10:37:17,Send Money,Completed,0.0,2550.15,6120.73
MP226373,2025-06-06 10:37:17,Buy Goods,Completed,0.0,1200.27,8361.5
MP170617,2025-03-11 10:37:17,Deposit from M-PESA,Completed,3487.32,0.0,7531.72
MP970729,2025-04-30 10:37:17,Deposit from M-PESA,Completed,508.5,0.0,6438.42
MP885621,2025-03-15 10:37:17,Withdrawal at Agent,Completed,0.0,4757.48,236.73
MP253335,2025-05-19 10:37:17,Buy Goods,Completed,0.0,786.13,1005.28
MP555107,2025-06-06 10:37:17,Buy Goods,Completed,0.0,4353.05,8050.06
MP419934,2025-06-02 10:37:17,Withdrawal at Agent,Completed,0.0,2227.7,3818.29
MP971310,2025-05-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,2362.12
MP515979,2025-03-28 10:37:17,Deposit from M-PESA,Completed,4889.91,0.0,9761.68
MP399600,2025-03-12 10:37:17,Buy Goods,Completed,0.0,2238.28,1093.46
MP316836,2025-01-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,2724.14
MP481612,2025-03-18 10:37:17,Airtime Purchase,Completed,0.0,0.0,5097.41
MP971884,2025-04-13 10:37:17,Withdrawal at Agent,Completed,0.0,2962.38,3430.99
MP605787,2025-01-07 10:37:17,Send Money,Completed,0.0,308.25,8514.25
MP466673,2025-02-21 10:37:17,Withdrawal at Agent,Completed,0.0,1403.3,4892.12
MP957326,2025-03-17 10:37:17,Buy Goods,Completed,0.0,4590.87,8335.15
MP661424,2024-12-24 10:37:17,Withdrawal at Agent,Completed,0.0,3662.19,3397.7
MP238468,2025-02-18 10:37:17,Deposit from M-PESA,Completed,1018.21,0.0,5757.52
MP760889,2025-05-02 10:37:17,Airtime Purchase,Completed,0.0,0.0,6292.43
MP187462,2025-04-09 10:37:17,Airtime Purchase,Completed,0.0,0.0,126.34
MP689194,2025-04-27 10:37:17,Airtime Purchase,Completed,0.0,0.0,4411.72
MP575776,2025-05-09 10:37:17,Withdrawal at Agent,Completed,0.0,4796.48,8126.12
MP575550,2025-04-14 10:37:17,Send Money,Completed,0.0,3740.41,1208.18
MP869116,2025-02-22 10:37:17,Withdrawal at Agent,Completed,0.0,2862.03,5380.41
MP738507,2025-05-14 10:37:17,Airtime Purchase,Completed,0.0,0.0,2873.9
MP486134,2025-04-18 10:37:17,Airtime Purchase,Completed,0.0,0.0,5753.68
MP996065,2025-03-23 10:37:17,Buy Goods,Completed,0.0,3382.33,6458.79
MP778417,2025-01-25 10:37:17,Withdrawal at Agent,Completed,0.0,658.93,8836.55
MP911024,2025-03-12 10:37:17,Buy Goods,Completed,0.0,3016.11,2431.17
MP623581,2025-06-11 10:37:17,Send Money,Completed,0.0,1313.41,7649.54
MP243428,2025-02-15 10:37:17,Send Money,Completed,0.0,4382.82,4756.94
MP457037,2025-01-08 10:37:17,Buy Goods,Completed,0.0,2728.08,1222.77
MP178636,2025-02-06 10:37:17,Withdrawal at Agent,Completed,0.0,4732.52,6031.74
MP639108,2025-03-19 10:37:17,Airtime Purchase,Completed,0.0,0.0,8284.54
MP222229,2025-06-08 10:37:17,Deposit from M-PESA,Completed,1082.29,0.0,8190.51
MP275054,2025-04-14 10:37:17,Send Money,Failed,0.0,2542.73,7453.91
MP587459,2025-03-31 10:37:17,Airtime Purchase,Completed,0.0,0.0,7484.25
MP136877,2025-04-15 10:37:17,Buy Goods,Completed,0.0,1958.65,1319.15
MP367830,2025-01-21 10:37:17,Send Money,Completed,0.0,4954.81,9184.45
MP226926,2025-05-09 10:37:17,Deposit from M-PESA,Completed,3142.48,0.0,6265.25
MP234111,2024-12-21 10:37:17,Deposit from M-PESA,Completed,1198.34,0.0,1924.18
MP169565,2025-03-04 10:37:17,Send Money,Failed,0.0,4574.61,9433.6
MP569182,2025-05-29 10:37:17,Send Money,Completed,0.0,801.74,6387.44
MP434345,2025-03-29 10:37:17,Buy Goods,Completed,0.0,4005.57,6531.38
MP642874,2025-04-10 10:37:17,Airtime Purchase,Completed,0.0,0.0,6024.66
MP532980,2025-02-08 10:37:17,Airtime Purchase,Completed,0.0,0.0,9805.73
MP183699,2025-03-18 10:37:17,Send Money,Completed,0.0,3205.94,3184.27
MP757106,2025-03-23 10:37:17,Deposit from M-PESA,Completed,1734.44,0.0,4916.32
MP673283,2025-06-01 10:37:17,Deposit from M-PESA,Completed,1258.66,0.0,7861.03
MP126040,2025-05-02 10:37:17,Send Money,Completed,0.0,1349.22,4889.6
MP538255,2025-04-16 10:37:17,Withdrawal at Agent,Completed,0.0,1664.65,2988.41
MP217643,2025-06-14 10:37:17,Airtime Purchase,Completed,0.0,0.0,6969.31
MP816106,2025-02-18 10:37:17,Deposit from M-PESA,Completed,4865.31,0.0,9053.05
MP719198,2025-04-18 10:37:17,Deposit from M-PESA,Completed,1081.16,0.0,5403.39
MP790925,2025-02-07 10:37:17,Deposit from M-PESA,Completed,4585.99,0.0,6470.11
MP792921,2025-02-02 10:37:17,Deposit from M-PESA,Failed,1430.73,0.0,166.2
MP498348,2025-01-18 10:37:17,Airtime Purchase,Completed,0.0,0.0,2608.87
MP493267,2025-05-21 10:37:17,Withdrawal at Agent,Completed,0.0,3842.75,7661.24
MP488545,2025-02-07 10:37:17,Deposit from M-PESA,Completed,76.66,0.0,8264.69
MP851336,2025-01-28 10:37:17,Withdrawal at Agent,Completed,0.0,1957.44,3011.64
MP893744,2025-03-09 10:37:17,Deposit from M-PESA,Completed,3946.06,0.0,251.3
MP401945,2025-01-19 10:37:17,Withdrawal at Agent,Completed,0.0,4829.29,4343.12
MP813801,2025-01-15 10:37:17,Send Money,Failed,0.0,2564.29,3173.69
MP392313,2025-01-03 10:37:17,Deposit from M-PESA,Completed,4602.89,0.0,17.14
MP529582,2025-03-11 10:37:17,Buy Goods,Completed,0.0,4411.44,3531.64
MP937603,2025-04-06 10:37:17,Airtime Purchase,Completed,0.0,0.0,2514.83
MP979563,2025-05-23 10:37:17,Buy Goods,Completed,0.0,4633.8,5175.13
MP433365,2025-05-01 10:37:17,Withdrawal at Agent,Completed,0.0,1112.15,5242.32
MP435396,2025-05-02 10:37:17,Buy Goods,Completed,0.0,587.68,4373.09
MP487297,2024-12-29 10:37:17,Send Money,Completed,0.0,3658.57,1334.3
MP240854,2025-03-03 10:37:17,Send Money,Completed,0.0,1041.62,1909.49
MP189641,2025-04-06 10:37:17,Buy Goods,Completed,0.0,1801.86,341.68
MP576190,2025-03-26 10:37:17,Send Money,Completed,0.0,3175.64,274.18
MP961156,2025-04-19 10:37:17,Send Money,Completed,0.0,741.48,7047.97
MP350040,2025-06-11 10:37:17,Buy Goods,Completed,0.0,4305.26,9460.44
MP492607,2025-03-23 10:37:17,Withdrawal at Agent,Completed,0.0,2921.69,6142.02
MP365463,2025-05-11 10:37:17,Withdrawal at Agent,Completed,0.0,300.53,9038.22
MP404374,2025-05-22 10:37:17,Airtime Purchase,Completed,0.0,0.0,5763.11
MP885364,2025-03-19 10:37:17,Buy Goods,Completed,0.0,325.94,7228.95
MP918657,2025-03-01 10:37:17,Send Money,Completed,0.0,1338.88,8782.92
MP568044,2025-05-15 10:37:17,Send Money,Completed,0.0,1175.22,8889.59
MP891450,2025-05-02 10:37:17,Airtime Purchase,Completed,0.0,0.0,7541.31
MP432497,2025-03-05 10:37:17,Buy Goods,Completed,0.0,4753.17,8128.57
MP288371,2025-04-12 10:37:17,Airtime Purchase,Completed,0.0,0.0,8518.96
MP602025,2025-02-28 10:37:17,Deposit from M-PESA,Completed,2248.62,0.0,5624.92
MP678324,2025-03-29 10:37:17,Airtime Purchase,Completed,0.0,0.0,614.39
MP692348,2025-06-13 10:37:17,Send Money,Completed,0.0,2704.98,2442.54
MP285419,2025-02-22 10:37:17,Buy Goods,Completed,0.0,259.55,7438.28
MP574855,2025-04-26 10:37:17,Withdrawal at Agent,Completed,0.0,1788.43,7262.31
MP639834,2025-02-21 10:37:17,Send Money,Completed,0.0,4781.09,3085.28
MP341155,2025-01-14 10:37:17,Buy Goods,Completed,0.0,301.92,8217.02
MP368697,2025-04-24 10:37:17,Send Money,Completed,0.0,263.4,1957.58
MP520893,2025-01-08 10:37:17,Buy Goods,Completed,0.0,1507.56,6683.41
MP891939,2025-05-24 10:37:17,Deposit from M-PESA,Completed,1290.13,0.0,3029.05
MP766623,2025-01-04 10:37:17,Airtime Purchase,Completed,0.0,0.0,800.15
MP468694,2025-04-23 10:37:17,Buy Goods,Completed,0.0,4121.32,1037.91
MP965748,2025-01-30 10:37:17,Deposit from M-PESA,Completed,3640.69,0.0,4801.3
MP345840,2025-05-28 10:37:17,Send Money,Completed,0.0,2205.02,2834.02
MP170257,2025-03-06 10:37:17,Buy Goods,Completed,0.0,1163.39,2065.93
MP861000,2025-05-24 10:37:17,Withdrawal at Agent,Completed,0.0,3577.58,564.41
MP159700,2025-03-10 10:37:17,Withdrawal at Agent,Completed,0.0,2719.18,9487.03
MP204845,2025-05-13 10:37:17,Deposit from M-PESA,Completed,1771.8,0.0,6175.84
MP976904,2025-04-22 10:37:17,Send Money,Completed,0.0,126.0,8110.02
MP711131,2025-02-12 10:37:17,Deposit from M-PESA,Failed,1389.74,0.0,3099.81
MP463851,2025-01-29 10:37:17,Send Money,Completed,0.0,2091.53,7542.32
MP409551,2025-03-08 10:37:17,Send Money,Completed,0.0,3127.19,2616.0
MP473468,2025-03-09 10:37:17,Withdrawal at Agent,Completed,0.0,4014.12,2936.32
MP998699,2025-05-29 10:37:17,Airtime Purchase,Completed,0.0,0.0,8545.75
MP199764,2025-01-28 10:37:17,Buy Goods,Completed,0.0,1060.91,8580.79
MP727271,2025-05-10 10:37:17,Buy Goods,Completed,0.0,1248.68,8633.15
MP404709,2025-03-24 10:37:17,Withdrawal at Agent,Completed,0.0,3218.06,1792.53
MP757518,2025-01-27 10:37:17,Buy Goods,Completed,0.0,837.61,5340.26
MP459131,2025-01-14 10:37:17,Deposit from M-PESA,Completed,2374.39,0.0,9964.56
MP258176,2024-12-23 10:37:17,Deposit from M-PESA,Completed,293.59,0.0,8333.25
MP565706,2025-06-17 10:37:17,Airtime Purchase,Completed,0.0,0.0,3406.99
MP761503,2025-05-02 10:37:17,Withdrawal at Agent,Completed,0.0,1996.79,1473.25
MP113398,2024-12-31 10:37:17,Buy Goods,Completed,0.0,1577.36,5518.41
MP526449,2025-02-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,1385.17
MP740669,2025-04-24 10:37:17,Deposit from M-PESA,Completed,2877.24,0.0,9963.5
MP116348,2025-02-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,5210.15
MP943684,2025-01-09 10:37:17,Withdrawal at Agent,Completed,0.0,4499.25,7176.66
MP190953,2025-04-13 10:37:17,Send Money,Completed,0.0,1876.62,9971.82
MP881751,2025-05-25 10:37:17,Buy Goods,Completed,0.0,1328.65,9117.5
MP158832,2025-04-11 10:37:17,Airtime Purchase,Completed,0.0,0.0,1365.66
MP295727,2025-05-05 10:37:17,Buy Goods,Completed,0.0,2022.01,6492.84
MP483683,2025-04-19 10:37:17,Airtime Purchase,Completed,0.0,0.0,7931.65
MP598656,2025-05-18 10:37:17,Deposit from M-PESA,Failed,677.08,0.0,3595.25
MP151887,2024-12-31 10:37:17,Airtime Purchase,Completed,0.0,0.0,5455.36
MP591109,2025-03-29 10:37:17,Withdrawal at Agent,Completed,0.0,3502.23,5917.27
MP587790,2025-05-08 10:37:17,Send Money,Completed,0.0,3651.12,6442.44
MP795926,2025-04-24 10:37:17,Withdrawal at Agent,Completed,0.0,4552.34,1461.28
MP943094,2025-02-08 10:37:17,Deposit from M-PESA,Completed,4494.49,0.0,8082.75
MP191118,2025-05-18 10:37:17,Withdrawal at Agent,Completed,0.0,4788.24,932.29
MP166764,2025-03-19 10:37:17,Deposit from M-PESA,Completed,4632.95,0.0,3663.59
MP157271,2025-05-18 10:37:17,Buy Goods,Completed,0.0,560.24,3673.68
MP769754,2025-03-14 10:37:17,Send Money,Completed,0.0,3367.74,5749.38
MP186516,2025-01-04 10:37:17,Send Money,Completed,0.0,2865.7,8145.44
MP651201,2025-05-03 10:37:17,Withdrawal at Agent,Completed,0.0,2797.17,7907.8
MP631949,2025-02-04 10:37:17,Airtime Purchase,Completed,0.0,0.0,2492.78
MP509882,2025-06-06 10:37:17,Airtime Purchase,Completed,0.0,0.0,5131.85
MP159493,2025-03-23 10:37:17,Withdrawal at Agent,Completed,0.0,3985.22,9350.33
MP786993,2025-01-01 10:37:17,Send Money,Completed,0.0,1280.35,9719.21
MP122545,2025-02-12 10:37:17,Airtime Purchase,Completed,0.0,0.0,4516.56
